cleaned_text,label
orange plants show minor pest infestation on leaves,1
maize crop shows healthy tassel emergence with normal pollen shed,0
chilli plants show healthy dark green leaves with good fruit set,0
rice leaves show water soaked lesions with gradual yellowing across the field,1
banana plants show dark streaks on leaves and delayed fruit maturity,1
black gram pods show abnormal curling with reduced seed filling,1
mung bean plants show leaf curling and visible insect damage underneath the foliage,1
tomato crop shows healthy fruit development with uniform red color,0
maize crop shows healthy leaf area index with good light interception,0
black gram crop appears uniform with good color and strong growth,0
pearl millet shows healthy panicle emergence with good grain filling,0
moth bean leaves show tiny yellow spots that coalesce into large brown areas,1
watermelon crop shows excellent leaf area with no stress signs,0
moth bean plants display mosaic yellowgreen patterns with leaf distortion,1
banana plants exhibit strong stems and welldeveloped leaves,0
tomato plants show fusarium wilt with brown vascular discoloration,1
cotton bolls show hard lock with internal fiber discoloration and boll rot,1
coffee leaves show yellow spots on upper surface with rust below,1
bitter gourd plants display healthy leaves with good fruit development,0
papaya plants show healthy latex production and firm trunk,0
sesame plants show phytophthora blight with dark watersoaked lesions,1
pomegranate trees show healthy new flush with glossy green leaves,0
chickpea plants show sudden wilt with internal vascular discoloration,1
papaya plants stand tall with healthy petioles and broad green leaves,0
jute crops exhibit stem rot close to soil level and leaf yellowing,1
orange trees display thick glossy leaves with no discoloration,0
apple leaves show purple to brown spots with dark margins,1
turmeric plants show healthy green leaves with strong rhizome growth,0
black gram crop shows healthy pod filling with uniform seed size,0
grape leaves show angular brown spots bounded by leaf veins,1
coconut palms show yellowing fronds and decline in nut production,1
soybean leaves show frogeye leaf spot with circular greybrown spots,1
jute crop shows healthy elongation with tight internodes,0
sorghum plants show healthy panicle emergence with good grain filling,0
grape vines show healthy lateral shoot development after pruning,0
coffee berries show dark brown lesions with pink spore masses in wet weather,1
mustard field shows healthy silique development with uniform maturity,0
orange plants show strong growth and clean fruit surfaces,0
spinach leaves show downy mildew with yellow angular patches,1
maize leaves show pale green to yellow streaks running parallel to leaf veins,1
pigeon pea leaves curl inward and show interveinal chlorosis across the field,1
lentil plants show normal internode length with healthy leaflets,0
wheat plants show loose smut with black powder replacing grain,1
grape berries show brown sunken spots with concentric rings of spore masses,1
mango crop shows healthy new flush with copperred young leaves,0
banana plants show wilting of youngest leaves first with brown vascular tissue,1
chickpea plants are branching well with healthy stipules,0
kidney bean leaves display interveinal yellowing with green veins remaining,1
moth bean leaves appear fresh and undamaged,0
lentil plants show healthy branching with secondary shoots,0
ginger rhizomes show dry rot with brown discoloration and shrunken tissue,1
rice crop shows tip burn and slow leaf drying,1
mung bean pods show black discoloration with shriveled seeds inside,1
jute plants grow vigorously with smooth green stems and healthy leaves,0
spinach field shows healthy leaf expansion with good market quality,0
orange leaves show small yellow spots that enlarge and turn brown,1
coffee berries show healthy development from green to red stage,0
pigeon pea plants wilted suddenly despite sufficient irrigation and roots appear discolored,1
groundnut pods show aflatoxin infection with shriveled seeds inside,1
coconut palms show grey blight with large brown patches on older leaves,1
maize crop shows even height with fresh leaf appearance,0
mung bean crop is at flowering stage with healthy yellow blossoms,0
mung bean crop shows yellowing starting from older leaves with progressive spread,1
mung bean plants exhibit bleached white patches on leaves after rain,1
moth bean plants show severe leaf scorch with dried edges and brittle stems,1
finger millet shows blast with diamondshaped lesions on leaves,1
kidney bean plants are bushy and healthy with good canopy,0
coconut nuts show premature dropping with dark watersoaked patches,1
ginger plants show bacterial wilt with yellowing and plant collapse,1
mango inflorescence shows blackening and flower drop before fruit set,1
mango trees show healthy flowering and balanced fruit development,0
sugarcane shows healthy internodal development with firm stalks,0
groundnut plants show web blotch on leaves with reduced pod filling,1
grape vines show vigorous shoot growth with welldeveloped tendrils,0
mustard plants show healthy yellow flowers with good branching,0
kidney bean pods are plump and green with no surface blemishes,0
lentil plants display uneven leaf color with slow growth,1
watermelon seedlings show cotyledon yellowing and stunted development,1
coffee leaves show circular brown spots with yellow halos and premature drop,1
ginger plants display fresh healthy leaves with vigorous shoot growth,0
banana plants show strong root anchorage with healthy corm,0
sunflower plants show healthy head development with bright yellow petals,0
pigeon pea plants are healthy with firm stems and consistent foliage,0
castor plants show healthy raceme development with good fruit set,0
pomegranate fruits are developing uniformly with healthy red skin,0
papaya plants exhibit normal leaf expansion,0
watermelon plants show healthy male and female flower ratio,0
lentil crop shows white cottony growth near soil level indicating damping off,1
barley field shows healthy head emergence with plump grains,0
orange fruits show green mold with white mycelium growth after harvest,1
chickpea root system shows abundant pink healthy nodules,0
moth bean crop shows healthy canopy closure between rows,0
banana plants show strong leaf structure,0
barley leaves show powdery mildew with white fluffy growth on leaf surface,1
coconut palms show bud rot with foul smell and collapse of central spear,1
chickpea field shows uniform plant stand with healthy root nodules,0
orange trees show healthy root zone with good drainage response,0
watermelon plants exhibit firm vines and fresh leaves,0
banana plants show drooping leaves during daytime,1
jute plants show small circular spots on leaves with yellow halos,1
the rice crop shows gradual yellowing of lower leaves with brown lesions spreading after prolonged rainfall,1
apple shoots show sudden wilting with shepherd crook appearance,1
pigeon pea plants show yellowing from lower leaves with vein clearing,1
coffee plants show rustlike lesions and reduced flowering intensity,1
carrot roots show cavity spot with oval sunken grey lesions on roots,1
finger millet shows brown streak with brown discoloration on leaf sheaths,1
tomato leaves display dark brown spots with yellow halos around the edges,1
soybean field shows healthy canopy closure with good pod filling,0
castor plants show grey mold with fluffy fungal growth on inflorescence,1
pea plants show healthy tendrils and green pods with good filling,0
rice seedlings show damping off with sudden collapse near soil line,1
kidney bean plants look vigorous with no visible discoloration or damage,0
flax plants display healthy blue flowers with good capsule formation,0
black gram crop exhibits uniform leaf texture,0
cotton plants show uniform boll development and healthy foliage,0
rice crop recovered well after transplanting with healthy new leaves,0
apple trees appear healthy with green leaves and good fruit size,0
mung bean stems show watersoaked lesions turning dark with plant collapse,1
watermelon vines show sudden collapse with crown rot and orange discoloration,1
carrot plants show alternaria blight with dark brown spots on leaves,1
cauliflower plants show downy mildew with yellow patches on upper leaf surface,1
muskmelon leaves show angular watersoaked spots turning brown and papery,1
kidney bean crop shows healthy first flower clusters opening,0
orange trees show yellowing of leaves with green banding on fruits,1
bitter gourd show powdery mildew infection with white coating on leaves,1
grape vines show good lignification of canes with healthy bark,0
black gram leaves exhibit surface lesions,1
cabbage plants show black rot with yellowing starting from leaf margins,1
brinjal plants display healthy purple flowers with good fruit development,0
sugarcane shows healthy green canes with strong root development,0
pearl millet shows ergot with honeydew secretion and dark sclerotia,1
mustard plants show white rust with raised creamy pustules on leaf undersides,1
carrot plants show healthy feathery leaves with good root development,0
coconut palms show upright healthy spears and firm trunk,0
watermelon vines are spreading vigorously with healthy yellow flowers,0
grape vines show healthy berry formation,0
mango leaves show irregular brown patches with yellow margins,1
orange plants exhibit yellow leaves with black surface spots on fruits,1
muskmelon plants display drying of young leaves,1
onion leaves show purple blotch with oval purple lesions and yellow margins,1
papaya stems show watersoaked lesions that turn dark and girdle the plant,1
pomegranate fruits show soft rot with internal browning and foul smell,1
turmeric leaves show leaf blotch with brown irregular spots,1
tomato plants show late blight with dark watersoaked lesions on leaves,1
muskmelon plants show stem canker at soil line with plant collapse,1
pigeon pea crop shows healthy branching with no stress symptoms,0
muskmelon leaves show burnt appearance from edges moving inward,1
maize plants show yellow streaking with curling at leaf margins,1
okra plants show yellow vein mosaic with bright yellow veins on leaves,1
kidney bean plants exhibit uneven growth with yellow patches and weak stems,1
wheat crop shows orange rust pustules on leaves with early senescence,1
chickpea plants display vigorous branching with abundant healthy flowers,0
sugarcane stalks show red rot inside when cut with foul smell,1
wheat crop shows uniform green stand with healthy tillers,0
apple leaves show olivegreen velvety patches on upper surface,1
muskmelon plants wilt during peak sunlight hours and show fungal discoloration,1
chickpea plants exhibit steady growth and normal flowering,0
cowpea leaves show cercospora leaf spot with circular brown lesions,1
muskmelon plants show normal tendrils and healthy dark green leaves,0
kidney bean plants show drying of lower leaves,1
banana leaves show yellow streaks running along the midrib,1
cotton plants show square and boll shedding with insect feeding marks,1
groundnut plants display healthy foliage with good pod formation,0
grape berries are setting well with firm green healthy appearance,0
garlic field shows healthy bulb development with uniform clove formation,0
cucumber field shows healthy fruit development with uniform color,0
jute stems are straight and strong with healthy internodes,0
pomegranate leaves show small circular spots with dark centers,1
carrot field shows healthy root elongation with good orange color,0
coffee plants display glossy dark leaves with healthy lateral branching,0
pomegranate fruits show surface spots with weak leaf growth,1
papaya plants show healthy fruit initiation at each leaf axil,0
barley crop displays healthy green leaves with normal ear development,0
onion plants show healthy green tops with good bulb development,0
papaya fruits show watersoaked circular spots that enlarge rapidly,1
cucumber plants show angular leaf spot with watersoaked angular lesions,1
groundnut field shows healthy pegging with good pod development below soil,0
lentil stems show dark streaks extending from base upward,1
black gram stems are firm with healthy leaf axil buds emerging,0
apple fruitlets are developing uniformly with healthy green appearance,0
coffee crop shows stable foliage growth,0
pigeon pea crop exhibits weak branches with discolored leaves,1
apple trees show strong scaffold branches with healthy bark,0
potato plants show healthy green canopy with good tuber development,0
papaya roots show brown rotting with foul odor and plant instability,1
watermelon plants spread well with healthy leaves and firm fruits,0
finger millet displays healthy arching fingerlike panicles with good grain,0
papaya leaves show circular ring spots and weakened plant structure,1
rice plants display narrow brown streaks on leaf blades with watersoaked margins,1
kidney bean vines are climbing well with lush green leaves and no blemishes,0
maize plants show healthy stalk development with strong brace roots,0
coconut palms show healthy inflorescence emergence with good setting,0
cauliflower field shows healthy curd development with pure white color,0
orange trees display strong canopy growth,0
chickpea stems show dark watersoaked lesions spreading toward the crown,1
garlic plants display healthy green leaves with firm bulb formation,0
pomegranate trees show tight healthy bud formation,0
sunflower stems show sclerotinia wilt with white fluffy growth inside stem,1
grape vines show white powdery coating and uneven berry formation,1
castor plants show bacterial leaf spot with watersoaked angular lesions,1
okra plants display healthy green leaves with good pod formation,0
wheat field shows uniform ripening with no signs of disease,0
coconut palms show healthy nut development at various stages,0
jute stems show internal dark discoloration when split lengthwise,1
