text,label
Papaya stems show water-soaked lesions that turn dark and girdle the plant.,1
Coconut nuts show premature dropping with dark water-soaked patches.,1
Cotton leaves show reddish brown spots with concentric rings.,1
Jute stems show internal dark discoloration when split lengthwise.,1
Coffee leaves show circular brown spots with yellow halos and premature drop.,1
Rice plants show orange powdery rust pustules on leaf sheaths.,1
Maize plants display galls of various sizes on leaves and stalks.,1
Chickpea leaves show grayish powdery coating affecting entire canopy.,1
Kidney bean plants wilt suddenly with roots showing internal browning.,1
Pigeon pea plants show yellowing from lower leaves with vein clearing.,1
Moth bean crop shows shoot tip death with downward curling of leaves.,1
Mung bean plants exhibit bleached white patches on leaves after rain.,1
Black gram pods show abnormal curling with reduced seed filling.,1
Lentil stems show dark streaks extending from base upward.,1
Pomegranate leaves show small circular spots with dark centers.,1
Banana plants show wilting of youngest leaves first with brown vascular tissue.,1
Mango fruits show black rot at stem end with spreading decay.,1
Grape vines show reddish discoloration of leaves in early season.,1
Watermelon seedlings show cotyledon yellowing and stunted development.,1
Muskmelon fruits show surface cracking with fungal growth in cracks.,1
Apple shoots show sudden wilting with shepherd crook appearance.,1
Orange leaves show small yellow spots that enlarge and turn brown.,1
Papaya roots show brown rotting with foul odor and plant instability.,1
Coconut palms show grey blight with large brown patches on older leaves.,1
Cotton plants show square and boll shedding with insect feeding marks.,1
Jute leaves show brown angular spots with yellow borders.,1
Coffee plants show branch dieback with coral-colored spore masses.,1
Rice tillers show yellowing from base with easy pulling indicating stem borer.,1
Maize plants show downy growth on lower leaf surfaces in humid conditions.,1
Chickpea pods show dark lesions with pinkish spore masses in wet weather.,1
Kidney bean stems show dark sunken cankers at and below soil line.,1
Pigeon pea roots show complete decay with dark discoloration and soft texture.,1
Moth bean leaves show tiny yellow spots that coalesce into large brown areas.,1
Mung bean stems show water-soaked lesions turning dark with plant collapse.,1
Black gram leaves show small raised pustules that release brown powder.,1
Lentil plants show downy mildew with white growth under leaf surface.,1
Pomegranate bark shows cracks with gum exudation and internal browning.,1
Banana leaves show large irregular brown patches with yellow borders.,1
Mango shoots show tip dieback with dark lesions on young stems.,1
Grape shoots show distortion and stunting with mite infestation.,1
Watermelon plants show white powdery coating on leaf surfaces.,1
Muskmelon leaves show burnt appearance from edges moving inward.,1
Apple leaves show purple to brown spots with dark margins.,1
Orange trees show yellowing of leaves with green banding on fruits.,1
Papaya fruits show water-soaked circular spots that enlarge rapidly.,1
Coconut palms show stem bleeding with dark ooze from trunk.,1
Cotton leaves show bright yellow mosaic with stunted plant growth.,1
Jute crop shows chlorosis and stunting with twisted young leaves.,1
Coffee leaves show yellow spots on upper surface with rust below.,1
Rice crop shows tip burn and slow leaf drying.,1
Maize plants show yellow streaking with curling at leaf margins.,1
Chickpea leaves appear shriveled with fungal infection.,1
Kidney bean plants show drying of lower leaves.,1
Pigeon pea crop exhibits weak branches with discolored leaves.,1
Moth bean plants display insect damage with uneven foliage.,1
Mung bean crop shows pale leaves with poor flowering.,1
Black gram leaves exhibit surface lesions.,1
Lentil plants display uneven leaf color with slow growth.,1
Pomegranate fruits show surface spots with weak leaf growth.,1
Banana plants show drooping leaves during daytime.,1
Mango crop shows early fruit fall with leaf infections.,1
Grape leaves show rough texture with poor fruiting.,1
Watermelon crop exhibits stem cracking near soil level.,1
Muskmelon plants display drying of young leaves.,1
Apple trees show irregular leaf discoloration.,1
Orange plants show minor pest infestation on leaves.,1
Papaya leaves display fungal markings.,1
Coconut palms show reduced leaf size.,1
Cotton crop shows insect infestation on young leaves.,1
Jute crop shows leaf discoloration in patches.,1
Coffee plants display reduced vigor with leaf spots.,1
Tomato leaves display dark brown spots with yellow halos around the edges.,1
Wheat crop shows orange rust pustules on leaves with early senescence.,1
Soybean plants show sudden death syndrome with interveinal chlorosis.,1
Sunflower heads show grey mold with fuzzy fungal growth between petals.,1
Sugarcane stalks show red rot inside when cut with foul smell.,1
Groundnut plants show web blotch on leaves with reduced pod filling.,1
Sorghum leaves show target spot lesions with concentric brown rings.,1
Barley plants show net blotch with brown diamond-shaped spots on leaves.,1
Mustard plants show white rust with raised creamy pustules on leaf undersides.,1
Turmeric leaves show leaf blotch with brown irregular spots.,1
Ginger plants show bacterial wilt with yellowing and plant collapse.,1
Onion bulbs show neck rot with grey mold during storage.,1
Garlic plants show white rot with white fluffy fungal growth at base.,1
Chilli plants show anthracnose with dark sunken spots on fruits.,1
Brinjal plants show little leaf disease with small deformed leaves.,1
Tomato plants show late blight with dark water-soaked lesions on leaves.,1
Potato plants show early blight with target-like concentric spots on leaves.,1
Cabbage plants show black rot with yellowing starting from leaf margins.,1
Cauliflower plants show downy mildew with yellow patches on upper leaf surface.,1
Pea plants show powdery mildew with white powder on leaves and stems.,1
Spinach leaves show downy mildew with yellow angular patches.,1
Carrot plants show alternaria blight with dark brown spots on leaves.,1
Okra plants show yellow vein mosaic with bright yellow veins on leaves.,1
Cucumber plants show angular leaf spot with water-soaked angular lesions.,1
Bitter gourd show powdery mildew infection with white coating on leaves.,1
Cowpea plants show yellow mosaic virus with yellow-green mottling on leaves.,1
Wheat plants show loose smut with black powder replacing grain.,1
Pearl millet plants show downy mildew with green ear formation.,1
Finger millet shows blast with diamond-shaped lesions on leaves.,1
Sesame plants show phytophthora blight with dark water-soaked lesions.,1
Castor plants show grey mold with fluffy fungal growth on inflorescence.,1
Flax plants show rust with orange powdery pustules on leaves.,1
Rice leaves show water soaked lesions with gradual yellowing across the field.,1
Tomato fruits show blossom end rot with dark leathery patches at the tip.,1
Wheat leaves show septoria blotch with tan lesions and pycnidia dots.,1
Soybean leaves show frogeye leaf spot with circular grey-brown spots.,1
Sunflower stems show sclerotinia wilt with white fluffy growth inside stem.,1
Sugarcane leaves show grassy shoot with excessive tillering and thin shoots.,1
Groundnut pods show aflatoxin infection with shriveled seeds inside.,1
Sorghum grain shows covered kernel smut with black smut balls.,1
Barley leaves show powdery mildew with white fluffy growth on leaf surface.,1
Mustard pods show alternaria blight with dark brown circular lesions.,1
Turmeric rhizomes show soft rot with foul smell and watery decay.,1
Ginger rhizomes show dry rot with brown discoloration and shrunken tissue.,1
Onion leaves show purple blotch with oval purple lesions and yellow margins.,1
Garlic leaves show rust with orange pustules on leaf surface.,1
Chilli plants show bacterial leaf spot with water-soaked irregular lesions.,1
Brinjal fruits show phomopsis blight with brown shrunken lesions.,1
Tomato plants show fusarium wilt with brown vascular discoloration.,1
Potato tubers show late blight rot with brown discoloration and foul smell.,1
Cabbage plants show ring spot with circular lesions and concentric rings.,1
Cauliflower head shows internal browning with discolored brown tissue inside.,1
Pea plants show ascochyta blight with brown lesions on leaves and pods.,1
Spinach plants show white rust with white blister-like pustules on leaves.,1
Carrot roots show cavity spot with oval sunken grey lesions on roots.,1
Okra plants show cercospora leaf spot with circular brown spots on leaves.,1
Cucumber plants show downy mildew with yellow patches on upper leaf surface.,1
Bitter gourd fruits show fruit fly damage with soft rotting entry wounds.,1
Cowpea leaves show cercospora leaf spot with circular brown lesions.,1
Wheat plants show fusarium head blight with pink mold on grain.,1
Pearl millet shows ergot with honeydew secretion and dark sclerotia.,1
Finger millet shows brown streak with brown discoloration on leaf sheaths.,1
Sesame plants show cercospora leaf spot with circular spots on leaves.,1
Castor plants show bacterial leaf spot with water-soaked angular lesions.,1
The rice field appears healthy with uniform green leaves and strong tiller formation.,0
Maize plants are growing evenly with healthy leaf color and good plant height.,0
Chickpea crop shows normal flowering and strong pod development.,0
Kidney bean plants look vigorous with no visible discoloration or damage.,0
Pigeon pea plants are healthy with firm stems and consistent foliage.,0
Moth bean crop shows uniform growth with no disease symptoms.,0
Mung bean plants have healthy leaves and normal pod formation.,0
Black gram crop appears uniform with good color and strong growth.,0
Lentil plants show steady growth and intact leaf structure.,0
Pomegranate trees show healthy foliage and proper fruit setting.,0
Banana plants exhibit strong stems and well-developed leaves.,0
Mango trees show healthy flowering and balanced fruit development.,0
Grape vines show consistent leaf color and healthy fruit clusters.,0
Watermelon plants spread well with healthy leaves and firm fruits.,0
Muskmelon vines show normal growth and good fruit set.,0
Apple trees appear healthy with green leaves and good fruit size.,0
Orange plants show strong growth and clean fruit surfaces.,0
Papaya plants are growing normally with healthy leaf shape.,0
Coconut palms show green fronds and satisfactory nut yield.,0
Cotton plants show uniform boll development and healthy foliage.,0
Jute crops are growing straight with strong stems and green leaves.,0
Coffee plants show healthy foliage and regular flowering patterns.,0
Rice crop is at tillering stage with deep green color and no visible stress.,0
Maize plants show excellent ear formation with full kernel development.,0
Chickpea plants display vigorous branching with abundant healthy flowers.,0
Kidney bean vines are climbing well with lush green leaves and no blemishes.,0
Pigeon pea crop shows consistent height with green healthy pods forming.,0
Moth bean plants spread uniformly with healthy trifoliate leaves.,0
Mung bean crop is at flowering stage with healthy yellow blossoms.,0
Black gram plants are erect with dark green leaves and good canopy cover.,0
Lentil plants show normal internode length with healthy leaflets.,0
Pomegranate trees are in full bloom with bright red healthy flowers.,0
Banana plants show wide healthy leaves with no spots or tears.,0
Mango trees display lush green canopy with no signs of stress.,0
Grape vines show vigorous shoot growth with well-developed tendrils.,0
Watermelon vines are spreading vigorously with healthy yellow flowers.,0
Muskmelon plants show normal tendrils and healthy dark green leaves.,0
Apple trees show abundant blossom set with healthy pink-white flowers.,0
Orange trees display thick glossy leaves with no discoloration.,0
Papaya plants stand tall with healthy petioles and broad green leaves.,0
Coconut palms show upright healthy spears and firm trunk.,0
Cotton plants show healthy square formation with strong lateral branches.,0
Jute plants grow vigorously with smooth green stems and healthy leaves.,0
Coffee plants display glossy dark leaves with healthy lateral branching.,0
Rice field shows even crop stand with healthy dark green leaves.,0
Maize crop shows healthy tassel emergence with normal pollen shed.,0
Chickpea field shows uniform plant stand with healthy root nodules.,0
Kidney bean pods are plump and green with no surface blemishes.,0
Pigeon pea flowers are abundant and bright with healthy petal color.,0
Moth bean pods are forming well with healthy seeds inside.,0
Mung bean plants have deep green leaves with no interveinal yellowing.,0
Black gram crop shows healthy pod filling with uniform seed size.,0
Lentil plants display healthy tendrils and normal branching pattern.,0
Pomegranate fruits are developing uniformly with healthy red skin.,0
Banana bunch shows healthy green fingers with uniform development.,0
Mango fruitlets are developing normally with healthy green color.,0
Grape berries are setting well with firm green healthy appearance.,0
Watermelon fruits are developing well with healthy dark green stripes.,0
Muskmelon fruits show good netting pattern and healthy green color.,0
Apple fruitlets are developing uniformly with healthy green appearance.,0
Orange fruits show healthy green to yellow transition at maturity.,0
Papaya fruits are forming normally with healthy skin and firm texture.,0
Coconut palms show healthy nut development at various stages.,0
Cotton plants show healthy boll development with no shedding.,0
Jute stems are straight and strong with healthy internodes.,0
Coffee berries show healthy development from green to red stage.,0
Rice crop recovered well after transplanting with healthy new leaves.,0
Maize plants show healthy stalk development with strong brace roots.,0
Chickpea root system shows abundant pink healthy nodules.,0
Kidney bean plants are bushy and healthy with good canopy.,0
Pigeon pea crop shows healthy branching with no stress symptoms.,0
Moth bean plants are spreading well with healthy ground cover.,0
Mung bean leaves are smooth and dark green with no abnormalities.,0
Black gram stems are firm with healthy leaf axil buds emerging.,0
Lentil crop shows healthy flowering with white pink blossoms.,0
Pomegranate trees show healthy new flush with glossy green leaves.,0
Banana plants show strong root anchorage with healthy corm.,0
Mango crop shows healthy new flush with copper-red young leaves.,0
Grape vines show good lignification of canes with healthy bark.,0
Watermelon crop shows excellent leaf area with no stress signs.,0
Muskmelon plants are healthy at peak vegetative stage.,0
Apple trees show strong scaffold branches with healthy bark.,0
Orange trees show healthy root zone with good drainage response.,0
Papaya plants show healthy latex production and firm trunk.,0
Coconut palms show healthy inflorescence emergence with good setting.,0
Cotton field shows uniform stand with healthy square formation.,0
Jute crop shows healthy elongation with tight internodes.,0
Coffee plants show healthy flush after pruning with strong regrowth.,0
Rice field shows excellent tillering with 8 to 10 tillers per plant.,0
Maize crop shows healthy leaf area index with good light interception.,0
Chickpea plants are branching well with healthy stipules.,0
Kidney bean crop shows healthy first flower clusters opening.,0
Pigeon pea plants show healthy secondary branching after topping.,0
Moth bean crop shows healthy canopy closure between rows.,0
Mung bean plants show healthy third trifoliate emerging.,0
Black gram crop shows healthy first flush of flowers opening.,0
Lentil plants show healthy branching with secondary shoots.,0
Pomegranate trees show tight healthy bud formation.,0
Banana plants show healthy sucker development beside mother plant.,0
Mango trees show healthy panicle emergence with good branching.,0
Grape vines show healthy lateral shoot development after pruning.,0
Watermelon plants show healthy male and female flower ratio.,0
Muskmelon crop shows healthy runner development and branching.,0
Apple trees show healthy spur development on older branches.,0
Orange trees show healthy feeder root development in soil.,0
Papaya plants show healthy fruit initiation at each leaf axil.,0
Coconut palms show healthy button formation after pollination.,0
Cotton plants show healthy first boll opening with white fiber.,0
Jute crop shows excellent height gain under warm humid conditions.,0
Coffee plants show healthy flower bud swelling after dry spell.,0
The rice plants are growing uniformly with healthy green tillers.,0
Maize crop shows even height with fresh leaf appearance.,0
Chickpea plants exhibit steady growth and normal flowering.,0
Kidney bean crop shows healthy foliage and proper branching.,0
Pigeon pea plants display normal stem strength.,0
Moth bean leaves appear fresh and undamaged.,0
Mung bean plants show consistent growth across the field.,0
Black gram crop exhibits uniform leaf texture.,0
Lentil plants are growing steadily with no visible stress.,0
Pomegranate trees show vibrant green foliage.,0
Banana plants show strong leaf structure.,0
Mango trees display balanced flowering.,0
Grape vines show healthy berry formation.,0
Watermelon plants exhibit firm vines and fresh leaves.,0
Muskmelon crop shows good fruit setting.,0
Apple plants show smooth leaf surface.,0
Orange trees display strong canopy growth.,0
Papaya plants exhibit normal leaf expansion.,0
Coconut palms show fresh green fronds.,0
Cotton plants show uniform growth pattern.,0
Jute plants appear upright and healthy.,0
Coffee crop shows stable foliage growth.,0
Tomato plants are growing vigorously with dark green healthy leaves.,0
Wheat crop shows uniform green stand with healthy tillers.,0
Soybean plants display healthy trifoliate leaves with normal pod set.,0
Sunflower plants show healthy head development with bright yellow petals.,0
Sugarcane shows healthy green canes with strong root development.,0
Groundnut plants display healthy foliage with good pod formation.,0
Sorghum plants show healthy panicle emergence with good grain filling.,0
Barley crop displays healthy green leaves with normal ear development.,0
Mustard plants show healthy yellow flowers with good branching.,0
Turmeric plants show healthy green leaves with strong rhizome growth.,0
Ginger plants display fresh healthy leaves with vigorous shoot growth.,0
Onion plants show healthy green tops with good bulb development.,0
Garlic plants display healthy green leaves with firm bulb formation.,0
Chilli plants show healthy dark green leaves with good fruit set.,0
Brinjal plants display healthy purple flowers with good fruit development.,0
Potato plants show healthy green canopy with good tuber development.,0
Cabbage plants show healthy compact head formation with firm leaves.,0
Cauliflower plants display healthy white curd development with green leaves.,0
Pea plants show healthy tendrils and green pods with good filling.,0
Spinach plants display healthy dark green leaves with no abnormalities.,0
Carrot plants show healthy feathery leaves with good root development.,0
Okra plants display healthy green leaves with good pod formation.,0
Cucumber plants show healthy spreading vines with good fruit set.,0
Bitter gourd plants display healthy leaves with good fruit development.,0
Cowpea plants show healthy vines with dark green leaves and good pods.,0
Wheat plants show healthy grain filling with golden uniform ripening.,0
Pearl millet shows healthy panicle emergence with good grain filling.,0
Finger millet displays healthy arching finger-like panicles with good grain.,0
Sesame plants display healthy capsule development with good seed filling.,0
Castor plants show healthy raceme development with good fruit set.,0
Flax plants display healthy blue flowers with good capsule formation.,0
Tomato crop shows healthy fruit development with uniform red color.,0
Wheat field shows uniform ripening with no signs of disease.,0
Soybean field shows healthy canopy closure with good pod filling.,0
Sunflower crop shows healthy seed development with good oil content.,0
Sugarcane shows healthy internodal development with firm stalks.,0
Groundnut field shows healthy pegging with good pod development below soil.,0
Sorghum crop shows healthy grain filling with compact panicles.,0
Barley field shows healthy head emergence with plump grains.,0
Mustard field shows healthy silique development with uniform maturity.,0
Turmeric field shows healthy rhizome development with good color.,0
Ginger field shows healthy rhizome development with good yield.,0
Onion field shows healthy bulb enlargement with good neck closure.,0
Garlic field shows healthy bulb development with uniform clove formation.,0
Chilli field shows healthy fruit ripening with uniform red color.,0
Brinjal field shows healthy fruit development with glossy appearance.,0
Potato field shows healthy vine growth with good tuber initiation.,0
Cabbage field shows healthy head formation with compact firm leaves.,0
Cauliflower field shows healthy curd development with pure white color.,0
Pea field shows healthy vine growth with abundant pod formation.,0
Spinach field shows healthy leaf expansion with good market quality.,0
Carrot field shows healthy root elongation with good orange color.,0
Okra field shows healthy pod development with good market size.,0
Cucumber field shows healthy fruit development with uniform color.,0
Bitter gourd field shows healthy fruit development with good bitterness.,0
Cowpea field shows healthy vine development with good pod set.,0
